,session_type,session_id,run,total_variance,average_variance,data_type,subject_id
224,IM,ses_02,3,0.10401652798601742,0.07979093844899598,component_data,avatarRT_sub_11
225,IM,ses_02,4,0.09277239023300735,0.07978945502275411,manifold_projection,avatarRT_sub_11
226,IM,ses_02,4,1.0443453214031861,0.9226238112399191,voxel_data,avatarRT_sub_11
227,IM,ses_02,4,0.09040214958374884,0.07837870547725914,component_data,avatarRT_sub_11
228,WMP,ses_03,1,0.15921865841141883,0.11726581596829785,manifold_projection,avatarRT_sub_11
229,WMP,ses_03,1,1.1601916026708359,0.8347497212163351,voxel_data,avatarRT_sub_11
230,WMP,ses_03,1,0.1542373172341214,0.11745722636123748,component_data,avatarRT_sub_11
231,WMP,ses_03,2,0.14719476911792986,0.1423378298399323,manifold_projection,avatarRT_sub_11
232,WMP,ses_03,2,1.0271039242837832,0.9802956672487905,voxel_data,avatarRT_sub_11
233,WMP,ses_03,2,0.1471009032621856,0.14245018935720757,component_data,avatarRT_sub_11
234,WMP,ses_03,3,0.11522569450301451,0.11013270356737459,manifold_projection,avatarRT_sub_11
235,WMP,ses_03,3,1.0677153353556248,0.9698071502751152,voxel_data,avatarRT_sub_11
236,WMP,ses_03,3,0.11475353181529202,0.11060927605316981,component_data,avatarRT_sub_11
237,WMP,ses_03,4,0.12889449741211229,0.11859227999883386,manifold_projection,avatarRT_sub_11
238,WMP,ses_03,4,1.0931116615290368,0.9669114170314532,voxel_data,avatarRT_sub_11
239,WMP,ses_03,4,0.12157765835364091,0.11240991481315746,component_data,avatarRT_sub_11
240,OMP,ses_04,1,0.126309236050923,0.11207103397783462,manifold_projection,avatarRT_sub_11
241,OMP,ses_04,1,1.03047029683186,0.867642639087726,voxel_data,avatarRT_sub_11
242,OMP,ses_04,1,0.1267141034912636,0.11228047472853071,component_data,avatarRT_sub_11
243,OMP,ses_04,2,0.10421119416796723,0.09055573501838445,manifold_projection,avatarRT_sub_11
244,OMP,ses_04,2,1.1539547536914518,0.9571293284645362,voxel_data,avatarRT_sub_11
245,OMP,ses_04,2,0.10410438568654767,0.09078548210596674,component_data,avatarRT_sub_11
246,OMP,ses_04,3,0.15046298719550344,0.14334259774498737,manifold_projection,avatarRT_sub_11
247,OMP,ses_04,3,1.0458211153088215,0.9831770416840425,voxel_data,avatarRT_sub_11
248,OMP,ses_04,3,0.1503030445841778,0.14399769294482595,component_data,avatarRT_sub_11
249,OMP,ses_04,4,0.11883390564324765,0.11174804331495877,manifold_projection,avatarRT_sub_11
